Milisec	Time	M0A0	M1A0	M2A0	M0A1	M1A1	M2A1	M0A2	M1A2	M2A2	M0A3	M1A3	M2A3	M0A4	M1A4	M2A4	M0A5	M1A5	M2A5	M0A6	M1A6	M2A6	Trigger	Temp
5603174	11:23:25 AM	2.7197	2.6636	4.9988	2.4902	2.6123	2.8735	2.5330	2.7747	2.9016	4.0186	2.8369	3.7415	3.2458	2.5989	2.7832	2.6721	3.0847	4.9988	2.9517	4.9988	4.9988	0.0000	2.6038
5603274	11:23:25 AM	2.7197	2.6624	4.9988	2.4902	2.6111	2.8711	2.5330	2.7747	2.9004	4.0076	2.8357	3.7390	3.2422	2.5977	2.7820	2.6709	3.0835	4.9988	2.9504	4.9988	4.9988	0.0000	2.6038
5603374	11:23:25 AM	2.7197	2.6599	4.9988	2.4902	2.6123	2.8711	2.5330	2.7747	2.9016	4.0137	2.8357	3.7317	3.2349	2.5964	2.7820	2.6721	3.0823	4.9988	2.9517	4.9988	4.9988	0.0000	2.6038
5603474	11:23:25 AM	2.7185	2.6587	4.9988	2.4902	2.6123	2.8723	2.5330	2.7747	2.9016	4.0015	2.8357	3.7244	3.2312	2.5952	2.7820	2.6721	3.0811	4.9988	2.9517	4.9988	4.9988	0.0000	2.6038
5603574	11:23:25 AM	2.7185	2.6575	4.9988	2.4915	2.6123	2.8735	2.5330	2.7747	2.9053	3.9966	2.8357	3.7195	3.2275	2.5940	2.7820	2.6721	3.0811	4.9988	2.9504	4.9988	4.9988	0.0000	2.6038
5603674	11:23:26 AM	2.7185	2.6587	4.9988	2.4915	2.6123	2.8711	2.5330	2.7747	2.9065	3.9929	2.8357	3.7170	3.2263	2.5928	2.7820	2.6709	3.0811	4.9988	2.9480	4.9988	4.9988	0.0000	2.6038
5603774	11:23:26 AM	2.7185	2.6575	4.9988	2.4915	2.6123	2.8711	2.5342	2.7759	2.9065	3.9819	2.8357	3.7146	3.2239	2.5928	2.7808	2.6697	3.0811	4.9988	2.9468	4.9988	4.9988	0.0000	2.6038
5603874	11:23:26 AM	2.7197	2.6575	4.9988	2.4915	2.6123	2.8699	2.5330	2.7759	2.9077	3.9795	2.8357	3.7134	3.2227	2.5928	2.7795	2.6685	3.0811	4.9988	2.9468	4.9988	4.9988	0.0000	2.6038
5603974	11:23:26 AM	2.7197	2.6575	4.9988	2.4915	2.6123	2.8687	2.5342	2.7747	2.9077	3.9807	2.8345	3.7109	3.2214	2.5916	2.7795	2.6685	3.0811	4.9988	2.9456	4.9988	4.9988	0.0000	2.6038
5604074	11:23:26 AM	2.7209	2.6575	4.9988	2.4915	2.6111	2.8674	2.5342	2.7747	2.9065	3.9734	2.8357	3.7085	3.2202	2.5916	2.7795	2.6672	3.0811	4.9988	2.9456	4.9988	4.9988	0.0000	2.6038
5604174	11:23:26 AM	2.7197	2.6575	4.9988	2.4915	2.6123	2.8662	2.5342	2.7747	2.9028	3.9722	2.8345	3.7085	3.2202	2.5903	2.7783	2.6672	3.0811	4.9988	2.9456	4.9988	4.9988	0.0000	2.6038
5604274	11:23:26 AM	2.7197	2.6562	4.9988	2.4915	2.6123	2.8662	2.5342	2.7747	2.9028	3.9661	2.8345	3.7036	3.2178	2.5903	2.7783	2.6672	3.0786	4.9988	2.9456	4.9988	4.9988	0.0000	2.6038
5604374	11:23:26 AM	2.7185	2.6575	4.9988	2.4915	2.6123	2.8662	2.5330	2.7747	2.9004	3.9587	2.8333	3.7024	3.2178	2.5916	2.7783	2.6660	3.0762	4.9988	2.9443	4.9988	4.9988	0.0000	2.6038
5604474	11:23:26 AM	2.7185	2.6575	4.9988	2.4915	2.6123	2.8650	2.5330	2.7734	2.8967	3.9600	2.8333	3.7024	3.2178	2.5916	2.7783	2.6648	3.0762	4.9988	2.9443	4.9988	4.9988	0.0000	2.6038
5604574	11:23:26 AM	2.7173	2.6562	4.9988	2.4915	2.6123	2.8638	2.5330	2.7734	2.8943	3.9587	2.8320	3.7000	3.2153	2.5916	2.7783	2.6660	3.0737	4.9988	2.9456	4.9988	4.9988	0.0000	2.6038
5604674	11:23:27 AM	2.7173	2.6550	4.9988	2.4915	2.6123	2.8662	2.5330	2.7734	2.8943	3.9807	2.8333	3.6963	3.2117	2.5903	2.7783	2.6697	3.0737	4.9988	2.9492	4.9988	4.9988	0.0000	2.6038
5604774	11:23:27 AM	2.7161	2.6538	4.9988	2.4915	2.6123	2.8699	2.5330	2.7734	2.8931	4.0076	2.8333	3.6951	3.2092	2.5903	2.7795	2.6709	3.0725	4.9988	2.9504	4.9988	4.9988	0.0000	2.6038
5604874	11:23:27 AM	2.7148	2.6538	4.9988	2.4915	2.6123	2.8735	2.5330	2.7747	2.8931	4.0076	2.8333	3.6914	3.2080	2.5891	2.7795	2.6733	3.0713	4.9988	2.9517	4.9988	4.9988	0.0000	2.6038
5604974	11:23:27 AM	2.7136	2.6526	4.9988	2.4915	2.6123	2.8784	2.5317	2.7759	2.8943	4.0210	2.8333	3.6865	3.2080	2.5891	2.7795	2.6770	3.0713	4.9988	2.9578	4.9988	4.9988	0.0000	2.6038
5605074	11:23:27 AM	2.7112	2.6526	4.9988	2.4915	2.6123	2.8796	2.5317	2.7747	2.8943	4.0430	2.8333	3.6841	3.2080	2.5879	2.7808	2.6794	3.0713	4.9988	2.9626	4.9988	4.9988	0.0000	2.6038
5605174	11:23:27 AM	2.7112	2.6526	4.9988	2.4902	2.6135	2.8772	2.5317	2.7734	2.8906	4.0308	2.8333	3.6804	3.2068	2.5891	2.7808	2.6782	3.0688	4.9988	2.9602	4.9988	4.9988	0.0000	2.6038
5605274	11:23:27 AM	2.7112	2.6526	4.9988	2.4902	2.6123	2.8748	2.5317	2.7722	2.8882	4.0088	2.8320	3.6768	3.2068	2.5891	2.7808	2.6770	3.0676	4.9988	2.9565	4.9988	4.9988	0.0000	2.6038
5605374	11:23:27 AM	2.7100	2.6526	4.9988	2.4902	2.6123	2.8735	2.5317	2.7722	2.8857	4.0039	2.8320	3.6755	3.2056	2.5891	2.7808	2.6770	3.0664	4.9988	2.9553	4.9988	4.9988	0.0000	2.6038
