Milisec	Time	M0A0	M1A0	M2A0	M0A1	M1A1	M2A1	M0A2	M1A2	M2A2	M0A3	M1A3	M2A3	M0A4	M1A4	M2A4	M0A5	M1A5	M2A5	M0A6	M1A6	M2A6	Trigger	Temp
3526701	10:48:49 AM	2.7783	2.6575	4.9988	2.5220	2.6013	2.9663	2.5854	2.8015	2.7930	4.2969	3.0444	3.6414	3.0762	2.5378	2.7698	2.6062	3.5254	4.9988	2.8052	4.9988	4.9988	0.0000	2.5854
3526801	10:48:49 AM	2.7795	2.6624	4.9988	2.5220	2.6013	2.9675	2.5903	2.8015	2.7966	4.3762	3.0481	3.6328	3.0688	2.5354	2.7686	2.6038	3.5229	4.9988	2.8003	4.9988	4.9988	0.0000	2.5854
3526901	10:48:49 AM	2.7869	2.6709	4.9988	2.5208	2.6013	2.9736	2.5964	2.8003	2.7979	4.4116	3.0518	3.6304	3.0652	2.5342	2.7698	2.6025	3.5229	4.9988	2.7954	4.9988	4.9988	0.0000	2.5867
3527001	10:48:49 AM	2.7856	2.6685	4.9988	2.5208	2.6013	2.9712	2.5940	2.8003	2.7942	4.3616	3.0481	3.6145	3.0627	2.5330	2.7698	2.6025	3.5168	4.9988	2.7930	4.9988	4.9988	0.0000	2.5854
3527101	10:48:49 AM	2.7832	2.6611	4.9988	2.5195	2.6013	2.9712	2.5891	2.7991	2.7917	4.3884	3.0493	3.6133	3.0615	2.5330	2.7698	2.6062	3.5132	4.9988	2.7942	4.9988	4.9988	0.0000	2.5854
3527201	10:48:49 AM	2.7783	2.6514	4.9988	2.5208	2.6013	2.9675	2.5842	2.7979	2.7893	4.3457	3.0505	3.6121	3.0615	2.5342	2.7698	2.6111	3.5120	4.9988	2.7954	4.9988	4.9988	0.0000	2.5867
3527301	10:48:49 AM	2.7771	2.6465	4.9988	2.5183	2.6001	2.9712	2.5818	2.7966	2.7856	4.3494	3.0505	3.6108	3.0615	2.5330	2.7710	2.6135	3.5107	4.9988	2.7954	4.9988	4.9988	0.0000	2.5867
3527401	10:48:49 AM	2.7771	2.6453	4.9988	2.5183	2.6001	2.9712	2.5818	2.7942	2.7832	4.3201	3.0505	3.6108	3.0615	2.5330	2.7722	2.6123	3.5095	4.9988	2.7942	4.9988	4.9988	0.0000	2.5854
3527501	10:48:49 AM	2.7795	2.6428	4.9988	2.5183	2.6001	2.9749	2.5818	2.7942	2.7832	4.2908	3.0518	3.6084	3.0603	2.5330	2.7722	2.6123	3.5059	4.9988	2.7917	4.9988	4.9988	0.0000	2.5854
3527601	10:48:50 AM	2.7820	2.6440	4.9988	2.5183	2.6001	2.9773	2.5830	2.7942	2.7844	4.2725	3.0554	3.6023	3.0615	2.5317	2.7722	2.6123	3.5034	4.9988	2.7905	4.9988	4.9988	0.0000	2.5854
3527701	10:48:50 AM	2.7820	2.6440	4.9988	2.5183	2.6001	2.9761	2.5818	2.7930	2.7832	4.2456	3.0518	3.5999	3.0603	2.5317	2.7722	2.6123	3.5022	4.9988	2.7905	4.9988	4.9988	0.0000	2.5854
3527801	10:48:50 AM	2.7808	2.6428	4.9988	2.5183	2.6001	2.9749	2.5806	2.7942	2.7795	4.2847	3.0481	3.5999	3.0603	2.5317	2.7734	2.6123	3.5022	4.9988	2.7905	4.9988	4.9988	0.0000	2.5854
3527901	10:48:50 AM	2.7795	2.6428	4.9988	2.5183	2.6001	2.9736	2.5806	2.7930	2.7783	4.2810	3.0444	3.5962	3.0615	2.5317	2.7734	2.6123	3.5010	4.9988	2.7893	4.9988	4.9988	0.0000	2.5854
3528001	10:48:50 AM	2.7783	2.6428	4.9988	2.5171	2.6001	2.9736	2.5806	2.7930	2.7771	4.2761	3.0408	3.5925	3.0615	2.5317	2.7734	2.6111	3.4985	4.9988	2.7881	4.9988	4.9988	0.0000	2.5867
3528101	10:48:50 AM	2.7771	2.6428	4.9988	2.5171	2.6013	2.9724	2.5793	2.7930	2.7759	4.2981	3.0359	3.5913	3.0615	2.5317	2.7747	2.6111	3.4985	4.9988	2.7869	4.9988	4.9988	0.0000	2.5854
3528201	10:48:50 AM	2.7747	2.6416	4.9988	2.5171	2.6013	2.9712	2.5781	2.7930	2.7734	4.3201	3.0334	3.5889	3.0615	2.5317	2.7747	2.6123	3.4973	4.9988	2.7869	4.9988	4.9988	0.0000	2.5854
3528301	10:48:50 AM	2.7722	2.6404	4.9988	2.5171	2.6025	2.9687	2.5757	2.7930	2.7710	4.3958	3.0286	3.5876	3.0627	2.5330	2.7783	2.6135	3.4985	4.9988	2.7881	4.9988	4.9988	0.0000	2.5867
3528401	10:48:50 AM	2.7661	2.6379	4.9988	2.5159	2.6038	2.9663	2.5684	2.7930	2.7686	4.4373	3.0212	3.5925	3.0664	2.5366	2.7795	2.6160	3.5034	4.9988	2.7954	4.9988	4.9988	0.0000	2.5854
